Species
Manihot leptopoda
Manihot tripartita
Romanoa tamnoides
Stillingia argutedentata
Stillingia dichotoma
Aeschynomene americana
Aeschynomene elegans
Centrosema coriaceum
Chamaecrista glandulosa
Chamaecrista nictitans
Chamaecrista rotundifolia
Chamaecrista zygophylloides
Dalbergia frutescens
Machaerium hirtum
Mimosa velloziana
Senna cana
Senna oblongifolia
Senna spinigera
Stylosanthes guianensis
Stylosanthes viscosa
Chelonanthus purpurascens
Prepusa dibotrya
Paliavana prasinata
Paliavana tenuiflora
Sinningia aghensis
Sinningia bragae
Sinningia brasiliensis
Sinningia bulbosa
Sinningia magnifica
Vanhouttea calcarata
Vitex polygama
Genlisea lobata
Utricularia nelumbifolia
Utricularia subulata
Aosa parviflora
Cuphea carthagenensis
Cuphea flava
Cuphea sessilifolia
Amorimia maritima
Banisteriopsis adenopoda
Heteropterys chrysophylla
Stigmaphyllon acuminatum
Stigmaphyllon alternifolium
Stigmaphyllon crenatum
Stigmaphyllon paralias
Ceiba erianthos
Pseudobombax grandiflorum
Pseudobombax majus
Pseudobombax petropolitanum
Sida cordifolia
Sida linifolia
Waltheria indica
Cambessedesia eichleri
Clidemia hirta
Dolichoura kollmannii
Merianthera bullata
Merianthera burlemarxii
Merianthera parvifolia
Merianthera pulchra
Merianthera verrucosa
Miconia prasina
Pleroma costatocalyx
Pleroma cucullatum
Pleroma fissinervium
Pleroma fontanae
Pleroma fragae
Pleroma heteromallum
Pleroma kollmannianum
Pleroma leopoldinense
Pleroma marinanum
Pleroma penduliflorum
Pleroma subsessilis
Pleroma venetiense
Pleroma vimineum
Tibouchina bahiensis
Tibouchina castellensis
Tibouchina radula
Microtea glochidiata
Mollugo verticillata
Campomanesia eugenioides
Eugenia candolleana
Eugenia sobraliana
Eugenia uniflora
Myrcia cacuminis
Myrcia hartwegiana
Myrcia selloi
Myrciaria delicatula
Chionanthus fluminensis
Acianthera limae
Acianthera prolifera
Bifrenaria harrisoniae
Bifrenaria tyrianthina
Brasiliorchis picta
Brassavola tuberculata
Bulbophyllum arianeae
Bulbophyllum boudetianum
Bulbophyllum exaltatum
Bulbophyllum weddellii
Cattleya cernua
Cattleya cinnabarina
